Date,Open,High,Low,Close,Adj Close,Volume
7/1/2020,63,63.73,59.119999,61.59,61.59,17916500
7/2/2020,60,61.799999,55.810001,58.57,58.57,26544400
7/6/2020,58.549999,60.73,57.099998,59.150002,59.150002,9977300
7/7/2020,58.799999,61.5,57.439999,61.09,61.09,8904300
7/8/2020,60.790001,62.459999,59.450001,61.580002,61.580002,7590900
7/9/2020,62.09,65.349998,58.880001,64.959999,64.959999,20646100
7/10/2020,64.650002,64.93,62.32,62.610001,62.610001,7407500
7/13/2020,63.889999,77.75,63.799999,71.779999,71.779999,56617300
7/14/2020,74,76.948997,70.620003,75.040001,75.040001,38708800
7/15/2020,87.519997,88.370003,78.010002,80.220001,80.220001,90756100
7/16/2020,80.160004,84.290001,79.599998,81.809998,81.809998,27277400
7/17/2020,83.349998,95.209999,82.610001,94.849998,94.849998,103509200
7/20/2020,87.860001,90.849998,78.050003,82.68,82.68,78391300
7/21/2020,80.910004,82.43,79.07,80.860001,80.860001,26185600
7/22/2020,79.610001,84.120003,79.110001,83.224998,83.224998,27274000
7/23/2020,82.050003,82.68,72.199997,75.330002,75.330002,29288100
7/24/2020,69.050003,73.900002,66.540001,73.209999,73.209999,27797500
7/27/2020,80.629997,80.980003,76.160004,79.910004,79.910004,44710700
7/28/2020,81,83.849998,79.5,81.489998,81.489998,32946900
7/29/2020,81.980003,82.82,76.550003,79.510002,79.510002,24453900
7/30/2020,78,79.25,76.800003,77.629997,77.629997,13102000
7/31/2020,78.199997,78.440002,73.603996,74.099998,74.099998,14223400
8/3/2020,74.980003,77.989998,73.029999,77.980003,77.980003,13382300
8/4/2020,78.192001,78.620003,75.5,78.459999,78.459999,10126500
8/5/2020,77.489998,77.489998,73.690002,75.800003,75.800003,19859900
8/6/2020,75.790001,76.25,73.120003,73.760002,73.760002,11691500
8/7/2020,74.379997,75.389999,73.010002,74.099998,74.099998,8771400
8/10/2020,74.269997,75,71.410004,72.010002,72.010002,8678300
8/11/2020,69.519997,71.400002,67,68.970001,68.970001,18118700
8/12/2020,75.669998,75.75,68.300003,69.519997,69.519997,50471500
8/13/2020,69.089996,69.18,67.050003,67.830002,67.830002,15055900
8/14/2020,68.059998,70.360001,67.860001,69.150002,69.150002,12799600
8/17/2020,69.139999,70.779999,68.379997,69.760002,69.760002,8749100
8/18/2020,68.279999,69.699997,65.230003,67.029999,67.029999,11329200
8/19/2020,66.739998,69.169998,66.599998,68,68,8558800
8/20/2020,67.790001,68,66.629997,67.809998,67.809998,6346700
8/21/2020,67.5,68.019997,65.599998,66.449997,66.449997,6935600
8/24/2020,67.150002,67.849998,62.880001,64.879997,64.879997,13143200
8/25/2020,64.32,66.695999,63.549999,66.25,66.25,7798500
8/26/2020,67.620003,71.639999,66.029999,70.5,70.5,28768100
8/27/2020,69.980003,70.32,67.010002,68.029999,68.029999,9262600
8/28/2020,68.040001,68.949997,67.150002,67.489998,67.489998,6368200
